ID de la cuenta;Estado de la cuenta;Imprimir (total);Imprimir (a todo color);Imprimir (a todo color) - Nivel 1;Imprimir (a todo color) - Nivel 2;Imprimir (a todo color) - Nivel 3;Imprimir (un solo color);Imprimir (blanco y negro);Copia (total);Copia (a todo color);Copia (a todo color) - Nivel 1;Copia (a todo color) - Nivel 2;Copia (a todo color) - Nivel 3;Copia (un solo color);Copia (blanco y negro);Recibir FAX;Escanear (total);Escanear (copia);Escanear (FAX);Escanear (en otro);Páginas de transmisión de FAX;Tiempo de transmisión del FAX;Marca de tiempo
"1985";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"71";"0";"0";"71";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1987";"Normal";"99";"";"";"";"";"";"99";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1992";"Normal";"371";"";"";"";"";"";"371";"0";"";"";"";"";"";"0";"0";"9";"0";"0";"9";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1994";"Normal";"18";"";"";"";"";"";"18";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1995";"Normal";"56";"";"";"";"";"";"56";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1998";"Normal";"259";"";"";"";"";"";"259";"12";"";"";"";"";"";"12";"0";"57";"5";"0";"52";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2000";"Normal";"125";"";"";"";"";"";"125";"3";"";"";"";"";"";"3";"0";"3";"3";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2001";"Normal";"17";"";"";"";"";"";"17";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2002";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2009";"Normal";"129";"";"";"";"";"";"129";"8";"";"";"";"";"";"8";"0";"36";"8";"0";"28";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2015";"Normal";"191";"";"";"";"";"";"191";"30";"";"";"";"";"";"30";"0";"31";"31";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2016";"Normal";"544";"";"";"";"";"";"544";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2020";"Normal";"108";"";"";"";"";"";"108";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2022";"Normal";"117";"";"";"";"";"";"117";"3";"";"";"";"";"";"3";"0";"9";"3";"0";"6";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2023";"Normal";"533";"";"";"";"";"";"533";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2024";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2025";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2026";"Normal";"339";"";"";"";"";"";"339";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2027";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2028";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2084";"Normal";"103";"";"";"";"";"";"103";"15";"";"";"";"";"";"15";"0";"7";"7";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2170";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2201";"Normal";"194";"";"";"";"";"";"194";"28";"";"";"";"";"";"28";"0";"73";"28";"0";"45";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2203";"Normal";"899";"";"";"";"";"";"899";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2205";"Normal";"76";"";"";"";"";"";"76";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2211";"Normal";"261";"";"";"";"";"";"261";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2213";"Normal";"355";"";"";"";"";"";"355";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2223";"Normal";"24";"";"";"";"";"";"24";"0";"";"";"";"";"";"0";"0";"14";"0";"0";"14";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2301";"Normal";"133";"";"";"";"";"";"133";"70";"";"";"";"";"";"70";"0";"77";"71";"0";"6";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2307";"Normal";"23";"";"";"";"";"";"23";"4";"";"";"";"";"";"4";"0";"35";"4";"0";"31";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2356";"Normal";"46";"";"";"";"";"";"46";"0";"";"";"";"";"";"0";"0";"47";"0";"0";"47";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2418";"Normal";"310";"";"";"";"";"";"310";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2424";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2429";"Normal";"145";"";"";"";"";"";"145";"2";"";"";"";"";"";"2";"0";"3";"3";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2502";"Normal";"221";"";"";"";"";"";"221";"270";"";"";"";"";"";"270";"0";"93";"81";"0";"12";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2503";"Normal";"81";"";"";"";"";"";"81";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2527";"Normal";"147";"";"";"";"";"";"147";"13";"";"";"";"";"";"13";"0";"10";"10";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2620";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2705";"Normal";"1";"";"";"";"";"";"1";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2708";"Normal";"15";"";"";"";"";"";"15";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2716";"Normal";"291";"";"";"";"";"";"291";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2755";"Normal";"1";"";"";"";"";"";"1";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2784";"Normal";"64";"";"";"";"";"";"64";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2904";"Normal";"34";"";"";"";"";"";"34";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2905";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"2953";"Normal";"0";"";"";"";"";"";"0";"22";"";"";"";"";"";"22";"0";"11";"11";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"3004";"Normal";"134";"";"";"";"";"";"134";"31";"";"";"";"";"";"31";"0";"20";"18";"0";"2";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
